,param_1,date,label
0,45.94,1561420800.0,1
1,25.38,1561507200.0,-1
2,2.14,1561593600.0,-1
3,151.04,1563840000.0,1
4,125.44,1563926400.0,1
5,158.31,1564704000.0,1
6,222.24,1566604800.0,-1
7,217.71,1567987200.0,-1
8,193.57,1568419200.0,-1
9,196.0,1568505600.0,-1
10,196.54,1568592000.0,-1
11,113.25,1570665600.0,1
12,0.89,1570838400.0,-1
13,46.95,1571270400.0,1
14,3.71,1572825600.0,-1
15,25.68,1573776000.0,1
16,2.6,1561680000.0,-1
17,112.55,1561852800.0,-1
18,110.03,1561939200.0,-1
19,58.36,1562025600.0,1
20,91.8,1562112000.0,-1
21,61.11,1562198400.0,1
22,71.55,1562284800.0,-1
23,100.99,1562371200.0,-1
24,100.72,1562457600.0,-1
25,100.04,1562544000.0,1
26,98.73,1562630400.0,1
27,100.43,1562716800.0,1
28,101.47,1562803200.0,1
29,114.57,1562889600.0,-1
30,122.46,1562976000.0,-1
31,128.68,1563062400.0,1
32,134.2,1563148800.0,1
33,143.63,1563235200.0,1
34,146.73,1563321600.0,1
35,145.25,1563408000.0,1
36,145.95,1563494400.0,1
37,148.23,1563580800.0,1
38,145.36,1563667200.0,1
39,153.23,1563753600.0,1
40,0.01,1564012800.0,-1
41,147.62,1564099200.0,1
42,156.27,1564185600.0,1
43,159.84,1564272000.0,1
44,156.94,1564358400.0,1
45,158.34,1564444800.0,1
46,154.68,1564531200.0,1
47,152.4,1564617600.0,1
48,156.26,1564790400.0,1
49,155.2,1564876800.0,1
50,101.49,1564963200.0,1
51,60.79,1565049600.0,1
52,171.31,1565136000.0,1
53,164.19,1565395200.0,1
54,165.81,1565222400.0,1
55,164.7,1565308800.0,1
56,163.49,1565481600.0,1
57,162.71,1565568000.0,1
58,158.49,1565654400.0,1
59,161.01,1565740800.0,1
60,119.4,1565827200.0,1
61,117.86,1565913600.0,1
62,80.22,1566000000.0,1
63,388.58,1566086400.0,-1
64,392.86,1566172800.0,-1
65,385.56,1566259200.0,-1
66,283.82,1566345600.0,-1
67,228.22,1566432000.0,-1
68,226.07,1566518400.0,-1
69,225.81,1566691200.0,-1
70,195.62,1566777600.0,-1
71,158.28,1566864000.0,1
72,142.22,1566950400.0,1
73,138.69,1567036800.0,1
74,134.17,1567123200.0,1
75,143.49,1567209600.0,1
76,141.24,1567296000.0,1
77,166.56,1567382400.0,1
78,155.93,1567468800.0,1
79,164.21,1567555200.0,1
80,194.84,1567641600.0,-1
81,197.14,1567728000.0,-1
82,214.56,1567814400.0,-1
83,204.76,1567900800.0,-1
84,197.18,1568073600.0,-1
85,203.62,1568160000.0,-1
86,203.03,1568246400.0,-1
87,193.16,1568332800.0,-1
88,202.57,1568678400.0,-1
89,199.55,1568764800.0,-1
90,160.39,1568851200.0,1
91,153.14,1568937600.0,1
92,155.96,1569024000.0,1
93,162.81,1569110400.0,1
94,158.71,1569196800.0,1
95,154.32,1569283200.0,1
96,150.74,1569369600.0,1
97,146.87,1569456000.0,1
98,140.37,1569542400.0,1
99,131.78,1569628800.0,1
100,137.13,1569715200.0,1
101,142.39,1569801600.0,1
102,143.61,1569888000.0,1
103,146.05,1569974400.0,1
104,166.98,1570060800.0,-1
105,162.51,1570147200.0,-1
106,167.35,1570233600.0,-1
107,171.58,1570320000.0,-1
108,165.4,1570406400.0,-1
109,158.02,1570492800.0,1
110,137.26,1570579200.0,1
111,24.87,1570752000.0,1
112,34.34,1570924800.0,1
113,9.87,1571011200.0,-1
114,4.94,1571097600.0,-1
115,20.34,1571184000.0,1
116,48.77,1571356800.0,1
117,49.77,1571443200.0,1
118,49.81,1571529600.0,1
119,56.78,1571616000.0,1
120,10.58,1571702400.0,-1
121,5.48,1571788800.0,-1
122,1.16,1571875200.0,-1
123,1.04,1571961600.0,1
124,0.56,1572048000.0,1
125,1.16,1572134400.0,-1
126,1.77,1572220800.0,-1
127,2.56,1572307200.0,1
128,2.49,1572393600.0,1
129,2.95,1572480000.0,1
130,2.93,1572566400.0,-1
131,3.34,1572652800.0,1
132,3.89,1572739200.0,1
133,20.62,1572912000.0,1
134,31.63,1572998400.0,1
135,41.78,1573084800.0,1
136,49.59,1573171200.0,1
137,44.16,1573257600.0,1
138,60.14,1573344000.0,1
139,51.57,1573430400.0,1
140,52.6,1573516800.0,1
141,53.05,1573603200.0,1
142,44.08,1573689600.0,1
143,44.82,1575417600.0,1
144,42.66,1578787200.0,1
145,45.57,1579219200.0,1
146,41.47,1580688000.0,1
147,41.04,1583452800.0,1
148,37.83,1585180800.0,1
149,11.07,1573862400.0,1
150,9.48,1573948800.0,-1
151,24.83,1574035200.0,1
152,15.59,1574121600.0,1
153,7.72,1574208000.0,1
154,8.18,1574294400.0,-1
155,21.2,1574380800.0,1
156,42.97,1574467200.0,1
157,44.87,1574553600.0,1
158,46.39,1574640000.0,1
159,44.64,1574726400.0,1
160,42.28,1574812800.0,1
161,44.39,1574899200.0,1
162,44.27,1574985600.0,1
163,47.19,1575072000.0,1
164,47.74,1575158400.0,1
165,48.32,1575244800.0,1
166,48.03,1575331200.0,1
167,51.01,1575504000.0,1
168,40.23,1575590400.0,1
169,38.33,1575676800.0,1
170,44.29,1575763200.0,1
171,43.7,1575849600.0,1
172,46.1,1575936000.0,1
173,48.46,1576022400.0,1
174,47.23,1576108800.0,1
175,48.13,1576195200.0,1
176,45.07,1576281600.0,1
177,44.25,1576368000.0,1
178,44.31,1576454400.0,1
179,43.19,1576540800.0,1
180,54.45,1576627200.0,1
181,45.46,1576713600.0,1
182,44.8,1576800000.0,1
183,40.31,1576886400.0,1
184,44.83,1576972800.0,1
185,47.79,1577059200.0,1
186,41.19,1577145600.0,1
187,35.27,1577232000.0,1
188,40.46,1577318400.0,1
189,42.31,1577404800.0,1
190,42.69,1577491200.0,1
191,40.76,1577577600.0,1
192,38.32,1577664000.0,1
193,37.98,1577750400.0,1
194,40.01,1577836800.0,1
195,40.91,1577923200.0,1
196,38.53,1578009600.0,1
197,37.39,1578096000.0,1
198,41.7,1578182400.0,1
199,42.32,1578268800.0,1
200,41.72,1578355200.0,1
201,41.48,1578441600.0,1
202,35.29,1578528000.0,1
203,34.22,1578614400.0,1
204,35.12,1578700800.0,1
205,39.74,1578873600.0,1
206,44.39,1578960000.0,1
207,49.77,1579046400.0,1
208,46.75,1579132800.0,1
209,46.11,1579305600.0,1
210,45.13,1579392000.0,1
211,41.29,1579478400.0,1
212,42.57,1579564800.0,1
213,40.76,1579651200.0,1
214,38.94,1579737600.0,1
215,39.5,1579824000.0,1
216,42.8,1579910400.0,1
217,44.11,1579996800.0,1
218,41.96,1580083200.0,1
219,38.33,1580169600.0,1
220,35.86,1580256000.0,1
221,42.48,1580342400.0,1
222,44.56,1580428800.0,1
223,42.28,1580515200.0,1
224,41.56,1580601600.0,1
225,40.05,1580774400.0,1
226,40.72,1580860800.0,1
227,41.05,1580947200.0,1
228,43.75,1581033600.0,1
229,40.71,1581120000.0,1
230,44.98,1581206400.0,1
231,44.19,1581292800.0,1
232,42.22,1581379200.0,1
233,41.37,1581465600.0,1
234,43.56,1581552000.0,1
235,41.69,1581638400.0,1
236,41.62,1581724800.0,1
237,39.81,1581811200.0,1
238,41.65,1581897600.0,1
239,48.64,1581984000.0,1
240,46.31,1582070400.0,1
241,42.79,1582156800.0,1
242,44.88,1582243200.0,1
243,43.72,1582329600.0,1
244,44.46,1582416000.0,1
245,43.44,1582502400.0,1
246,40.44,1582588800.0,1
247,40.68,1582675200.0,1
248,40.44,1582761600.0,1
249,44.26,1582848000.0,1
250,43.54,1582934400.0,1
251,43.14,1583020800.0,1
252,43.97,1583107200.0,1
253,42.21,1583193600.0,1
254,38.53,1583280000.0,1
